u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,access,width,tunnel,service,bridge,junction,est_width,NO2_ugm3,NO_ugm3,CO2_mgm3,CO_mgm3,O3_ugm3,PM25_ugm3
389643,8665974543,0,326874928,False,3,Conyngham Road,secondary,50,True,14.932,R109,"LINESTRING (-6.2967409 53.3481904, -6.2968109 53.3481924, -6.2969657 53.3481952)",,,,,,,,35.443,24.506,834.159,0.443,39.128,6.375
389643,462642670,0,935165795,True,1,Chesterfield Avenue,tertiary,30,False,67.991,,"LINESTRING (-6.2967409 53.3481904, -6.2967371 53.3483036, -6.2969293 53.348381, -6.2973728 53.348543, -6.2973899 53.3485914)",,,,,,,,36.4302,25.5524,829.6902,0.4194,33.1788,5.7594
389661,5354204879,0,227767350,False,,,service,30,True,57.389,,"LINESTRING (-6.2725535 53.3378407, -6.2726815 53.3378379, -6.27333 53.3378346, -6.2734044 53.3378624)",,,,alley,,,,6.568,44.453,794.824,0.356,49.785,5.043
389661,458897156,0,933069654,True,2,New Street South,secondary,50,False,64.61,R137,"LINESTRING (-6.2725535 53.3378407, -6.2725564 53.3379226, -6.2725762 53.3380398, -6.2726453 53.3384189)",,,,,,,,16.861086666666665,53.5009,805.7169200000001,0.3816166666666666,47.305256666666665,5.864753333333333
389663,2383668112,0,341583777,False,3,Redmonds Hill,secondary,30,True,65.906,R114,"LINESTRING (-6.2660887 53.3383958, -6.2658624 53.3378187)",,,,,,,,21.9235,20.8295,825.539,0.4014999999999999,43.449,6.247
389663,2384200130,0,3791744,False,3,Aungier Street,secondary,30,False,15.89,R114,"LINESTRING (-6.2660887 53.3383958, -6.2660965 53.3384254, -6.2661097 53.3384454, -6.2661144 53.3384906, -6.2661082 53.3385366)",,,,,,,,23.693,8.086,818.106,0.4,44.013,5.171
389663,3566241825,0,14039867,False,2,Digges Street Upper,residential,30,False,69.094,,"LINESTRING (-6.2660887 53.3383958, -6.2659611 53.3384, -6.2656598 53.3384011, -6.2650483 53.3383958)",,,,,,,,13.588,34.301928571428576,807.923,0.357,47.731,5.2165
389664,26165089,0,2110697,True,1,St. Stephen's Green,unclassified,30,False,27.11,,"LINESTRING (-6.2619539 53.3384734, -6.2617923 53.3386973)",,,,,,,,14.592999999999998,6.484666666666667,802.3333333333334,0.3546666666666667,44.50066666666667,5.502
389664,133318455,0,14040068,False,,Proud's Lane,service,30,False,99.337,,"LINESTRING (-6.2619539 53.3384734, -6.2620274 53.3384943, -6.262455 53.3385756, -6.2629313 53.3386698, -6.2628204 53.3388871, -6.2627945 53.3389347)",,,,,,,,13.488500000000002,37.3455,789.985,0.324,56.19649999999999,4.7105
389666,2383668109,0,2294382,True,2,Cuffe Street,secondary,30,False,23.626,R110,"LINESTRING (-6.2657876 53.3375973, -6.2656677 53.3376585, -6.2654696 53.3376595)",,,,,,,,27.684,21.3195,815.3470000000001,0.38800000000000007,44.955000000000005,7.875
