u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,access,width,tunnel,service,bridge,junction,est_width
4346458381,1426048942,0,38090686,False,,Carmans Hall,residential,30,False,22.247,,"LINESTRING (-6.2774625 53.3404855, -6.2771405 53.3405409)",,,,,,,
4346458381,1426048930,0,38090686,False,,Carmans Hall,residential,30,True,46.447,,"LINESTRING (-6.2774625 53.3404855, -6.2777072 53.3404434, -6.2781334 53.3403671)",,,,,,,
4346458381,4816614273,0,436773473,False,,,service,,False,37.825,,"LINESTRING (-6.2774625 53.3404855, -6.27741 53.3403576, -6.2774344 53.3403163, -6.2775747 53.3402848, -6.2775352 53.3402134)",,,,,,,
4346458386,4346458387,0,436773473,False,,,service,,False,14.371,,"LINESTRING (-6.2775015 53.340025, -6.277717 53.3400372)",,,,,,,
4346458386,4346458388,0,436773474,False,,,service,,False,17.345,,"LINESTRING (-6.2775015 53.340025, -6.2772434 53.3400008)",,,,,,,
4346458386,4816614273,0,436773473,False,,,service,,True,21.354,,"LINESTRING (-6.2775015 53.340025, -6.2774975 53.3401452, -6.2775352 53.3402134)",,,,,,,
4346458387,4346458386,0,436773473,False,,,service,,True,14.371,,"LINESTRING (-6.277717 53.3400372, -6.2775015 53.340025)",,,,,,,
4346458388,4346458386,0,436773474,False,,,service,,True,17.345,,"LINESTRING (-6.2772434 53.3400008, -6.2775015 53.340025)",,,,,,,
4346467690,4346467692,0,436773475,False,,,service,,False,67.698,,"LINESTRING (-6.2805636 53.3409031, -6.2806134 53.340984, -6.2806319 53.3411016, -6.2808046 53.3414056, -6.2808051 53.3414891)",,,,,,,
4346467692,2374684876,0,44115853,True,,Earl Street South,residential,30,False,108.519,,"LINESTRING (-6.2808051 53.3414891, -6.2805927 53.3414959, -6.2801388 53.3415131, -6.2798358 53.3415227, -6.279505 53.3415379, -6.2791769 53.3415678)",,,,,,,
4346467692,4346467690,0,436773475,False,,,service,,True,67.69800000000001,,"LINESTRING (-6.2808051 53.3414891, -6.2808046 53.3414056, -6.2806319 53.3411016, -6.2806134 53.340984, -6.2805636 53.3409031)",,,,,,,
4346467697,255017272,0,369988984,False,,Swift's Alley,residential,30,False,39.8,,"LINESTRING (-6.2765731 53.3415017, -6.2770877 53.3414713, -6.2771697 53.3414665)",,,,,,,
4346467697,255017272,1,436773476,False,,,service,,True,59.03999999999999,,"LINESTRING (-6.2765731 53.3415017, -6.2765811 53.3414466, -6.2765848 53.3414204, -6.276622 53.3413823, -6.2770821 53.3413538, -6.2771334 53.3413813, -6.2771697 53.3414665)",,,,,,,
4346467697,666094817,0,"[369988984, 52375071]",False,,Swift's Alley,residential,30,True,102.594,,"LINESTRING (-6.2765731 53.3415017, -6.2764264 53.3415103, -6.2761854 53.3415353, -6.2751577 53.3416928, -6.2750706 53.3417111)",,,,,,,
4348389291,567263629,0,437009105,False,,Park Lane,service,30,False,11.115,,"LINESTRING (-6.254494 53.3450098, -6.2544479 53.3451059)",,,,,,,
4352655678,4352655679,0,437449558,False,,,service,,False,8.192,,"LINESTRING (-6.286801 53.3389842, -6.2869239 53.3389907)",,,,,,,
4352655678,2742541348,0,376465157,False,2,Marrowbone Lane,secondary,30,False,84.424,R804,"LINESTRING (-6.286801 53.3389842, -6.2868834 53.3387387, -6.2870462 53.3383286, -6.2870765 53.3382431)",,,,,,,
4352655678,1426048874,0,376465157,False,2,Marrowbone Lane,secondary,30,True,46.931,R804,"LINESTRING (-6.286801 53.3389842, -6.2867646 53.3390927, -6.2867253 53.339234, -6.2866857 53.3394005)",,,,,,,
